L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
1,5,5,5,5,100.0
2,10,10,10,10,100.0
4,20,20,20,20,100.0
8,40,40,40,40,100.0
16,80,80,80,80,100.0
32,160,160,160,160,100.0
64,320,320,320,320,100.0
128,636,634,634,634,99.69
256,1280,1277,1277,1277,99.77
512,2545,2530,2530,2530,99.41
1024,5088,4991,4988,4988,98.09
2048,9976,9633,9638,9630,96.56
4096,19552,18167,18202,18163,92.92
8192,34450,30339,30405,30336,88.07
16384,65389,51432,51539,51426,78.66
32768,105023,72270,72365,72257,68.81
65536,97662,68856,68922,68843,70.50
