L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
8192,32698,28952,29048,28947,88.54
8192,33342,29425,29561,29418,88.25
16384,53736,44000,44134,43991,81.88
32768,106454,72889,73162,72880,68.47
65536,213564,105350,105725,105335,49.33
131072,421622,125749,125942,125726,29.83
262144,841863,130857,130853,130837,15.54
524288,1694886,131072,131052,131052,7.73
1048576,3394876,131072,131052,131052,3.86
2,10,10,10,10,100.0
4,20,20,22,20,100.0
8,40,40,40,40,100.0
16,80,80,80,80,100.0
32,160,160,161,160,100.0
64,321,321,321,321,100.0
128,641,641,641,641,100.0
256,1281,1273,1273,1273,99.38
512,2561,2536,2535,2535,99.02
1024,5118,5017,5016,5016,98.03
2048,9433,9088,9100,9087,96.34
4096,19404,18032,18106,18028,92.93
8192,34687,30457,30608,30455,87.81
16384,52970,43520,43620,43515,82.16
32768,106531,72815,73089,72804,68.35
65536,213557,105506,105810,105474,49.40
