bucket,app_bytes,switch_bytes,delta,rel_err,switch_pkts
898,20000000,21529124,1529124,0.0764562,14593
389,20000000,21648517,1648517,0.08242585,14697
273,20000000,21654960,1654960,0.082748,14752
786,20000000,22049483,2049483,0.10247415,15010
173,20000000,21559052,1559052,0.0779526,14663
559,20000000,21417489,1417489,0.07087445,14521
566,20000000,21857695,1857695,0.09288475,14851
61,20000000,21900196,1900196,0.0950098,15032
190,20000000,21521814,1521814,0.0760907,14582
66,20000000,21375212,1375212,0.0687606,14536
578,20000000,22216810,2216810,0.1108405,15098
468,20000000,21592845,1592845,0.07964225,14738
356,20000000,21365458,1365458,0.0682729,14523
742,20000000,21563722,1563722,0.0781861,14647
103,20000000,21510121,1510121,0.07550605,14590
363,20000000,21542173,1542173,0.07710865,14620
496,20000000,22534415,2534415,0.12672075,15284
368,20000000,21395552,1395552,0.0697776,14522
1012,20000000,21586792,1586792,0.0793396,14854
382,20000000,21597223,1597223,0.07986115,14639
