nbytes_nominal,bucket,app_bytes,switch_bytes,rel_err,switch_pkts
1000000,912,1000000,1085052,0.085052,773
1668101,360,1670000,1840498,0.10209461077844312,1276
2782559,154,2780000,3010117,0.08277589928057554,2077
4641589,910,4640000,4993022,0.0760823275862069,3410
7742637,826,7740000,8677832,0.12116692506459949,5899
12915497,287,12920000,15197405,0.17626973684210526,10310
21544347,203,21540000,24965934,0.159049860724234,16938
35938137,115,35940000,38559600,0.0728881469115192,26126
59948425,515,59950000,65074432,0.08547843202668891,44066
100000000,316,100000000,107967519,0.07967519,73082
