L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
2,10,10,10,10,100.0
4,20,20,21,20,100.0
8,40,40,41,40,100.0
16,80,80,80,80,100.0
32,160,160,161,160,100.0
64,320,320,320,320,100.0
128,641,638,638,638,99.53
256,1281,1276,1275,1275,99.61
512,2555,2527,2527,2527,98.90
1024,5120,5034,5035,5034,98.32
2048,9940,9558,9569,9558,96.16
4096,19761,18382,18427,18378,93.02
8192,34560,30490,30624,30482,88.22
16384,54064,44245,44328,44239,81.84
32768,107681,73364,73652,73355,68.13
65536,214000,105558,105908,105540,49.33
131072,420678,125755,125956,125736,29.89
262144,841149,130859,130858,130839,15.56
524288,1707779,131072,131052,131052,7.67
1048576,3400208,131072,131052,131052,3.85
