bucket,pkts,bytes
8,3398,4176272
9,88,15322
22,599,67897
52,13328,19580957
74,1,1298
94,3,2714
96,9713,14044015
99,1,1298
113,81,15189
192,133,20017
214,3,2714
219,1,1298
291,3,3894
295,3,2714
310,849,1196170
325,1,1298
334,3162,4537374
336,2671,3903660
365,1,1298
378,49,11696
402,67,12635
409,70,13758
416,1,1298
420,1,1298
422,422,48212
441,3,3894
463,3,3894
467,16,2230
475,10,2524
490,1,1298
493,5099,7432779
503,1,1298
510,3,3894
545,1528,2166390
560,3,3894
610,3,3894
614,3,3894
642,24,16619
647,492,57014
678,141,21494
687,55,11005
697,115,13540
719,1,1298
724,943,1343137
738,1307,1780216
739,1,1298
747,3,3894
753,3,3894
754,4233,6157028
791,1,1298
793,55049,81311063
808,142,20578
814,3,3894
854,3,3894
859,1422,2068487
866,6549,9561322
884,1,1298
889,3,3894
910,48177,71153247
919,1,1298
925,1,1298
937,331,38941
949,1,1298
973,48,8915
982,44,11057
989,1,1298
991,3,3894
1005,22120,32588157
1008,1,1298
1027,3,3894
1049,8,8470
1050,13593,19994939
1059,1,1298
1065,4,5192
1129,1,1298
1160,16,2230
1164,3,2714
1184,3,2714
1207,1,1298
1216,3,3894
1249,60,12773
1255,3563,4942440
1264,16,2230
1298,40,10492
1299,1,1298
1312,1,1298
1326,778,1093660
1336,3,2714
1341,1,1298
1363,3,3894
1402,16157,23765118
1452,3,3894
1463,1122,1586901
1468,3,3894
1479,1,1298
1487,1,1298
1561,3,3894
1583,3,3894
1619,37733,55627879
1660,4077,5970370
1699,56,9295
1708,22550,33280350
1727,57,11599
1752,1,1298
1761,1,1298
1769,39529,58318985
1783,6237,8971678
1828,1,1298
1835,3,2714
1839,38,10848
1853,3,3894
1886,302,38703
1889,254,31526
1922,1,1298
1966,56732,83745909
1979,2,1416
1991,1,1298
2004,1,1298
2007,1,1298
2068,5968,8775458
2084,1,1298
2099,1309,1864100
2118,3,2714
2131,48,9127
2132,15957,23447135
2138,64810,95721128
2163,2,1416
2197,1,1298
2222,3,3894
2237,21919,32232429
2286,3,2714
2292,224,30448
2293,1954,2845281
2299,1,1298
2304,1,1298
2309,83,13817
2315,1,1298
2317,152,20730
2339,1,1298
2342,1,1298
2403,2727,3884001
2420,27502,40479936
2421,3,3894
2423,33669,49699456
2443,464,53749
2462,334,38563
2467,208,28399
2479,9547,13543469
2481,66653,98446001
2505,1509,2162275
2521,3,2714
2522,503,58594
2552,12899,18713334
2580,5,6490
2589,4139,5996032
2595,3,3894
2619,2398,3444110
2628,63,13023
2669,1,1298
2715,3,3894
2751,3,3894
2753,378,44107
2773,760,84062
2782,3,2714
2852,57601,85039832
2869,1,1298
2923,1,1298
2939,1,1298
2949,1,1298
2991,3,3894
3020,1,1298
3035,1157,1619510
3040,1,1298
3048,1571,2209130
3064,1,1298
3093,1,1298
3096,1,1298
3105,1,1298
3113,105,16936
3128,566,65768
3133,82,15264
3142,3,2714
3167,1,1298
3170,4511,6629957
3199,487,55396
3230,3,2714
3233,1,1298
3236,403,46966
3286,319,40458
3299,1,1298
3369,20713,30561802
3377,1,1298
3384,3,3894
3413,3,3894
3420,453,51816
3423,3,3894
3434,3,3894
3453,2,1416
3471,207,23919
3484,1,1298
3487,1,1298
3521,1,1298
3524,1,1298
3531,77,14224
3541,3980,5850402
3557,1,1298
3606,1,1298
3624,3,3894
3651,50,10467
3673,363,42246
3688,10,2524
3737,79,15384
3787,40,10853
3792,49,11784
3798,17,16681
3800,4832,6894108
3854,1,1298
3859,1,1298
3865,37,10405
3871,1,1298
3890,3,3894
3896,7166,10487471
3915,1,1298
3916,2051,2926774
3945,5,6490
3981,1,1298
4023,1,1298
4026,11347,16540027
4053,1,1298
4079,30493,45008348
4096,70,14249
4100,3,3894
4136,1,1298
4137,1,1298
4161,67,13651
4190,3,3894
4238,45,9651
4260,3,2714
4275,3,3894
4358,4301,6257042
4401,66,13694
4408,118,19888
4416,8865,13030415
4427,3,3894
4438,3,3894
4476,3,2714
4489,3,3894
4522,2267,3312954
4533,3,3894
4566,3066,4463751
4601,3,3894
4612,442,51008
4619,1,1298
4628,1,1298
4632,1,1298
4678,37619,55476703
4688,3,3894
